rir_dataset,rir_uid,rir_filename
Motus,0137_3,0137_3_raw_rirs.wav
Motus,0052_1,0052_1_raw_rirs.wav
Motus,0637_1,0637_1_raw_rirs.wav
Motus,0140_1,0140_1_raw_rirs.wav
Motus,0778_3,0778_3_raw_rirs.wav
Motus,0042_3,0042_3_raw_rirs.wav
Motus,0750_1,0750_1_raw_rirs.wav
Motus,0078_3,0078_3_raw_rirs.wav
Motus,0408_2,0408_2_raw_rirs.wav
Motus,0350_2,0350_2_raw_rirs.wav
Motus,0784_1,0784_1_raw_rirs.wav
Motus,0319_1,0319_1_raw_rirs.wav
Motus,0133_1,0133_1_raw_rirs.wav
Motus,0624_4,0624_4_raw_rirs.wav
Motus,0538_1,0538_1_raw_rirs.wav
Motus,0582_1,0582_1_raw_rirs.wav
Motus,0198_4,0198_4_raw_rirs.wav
Motus,0463_1,0463_1_raw_rirs.wav
Motus,0823_1,0823_1_raw_rirs.wav
Motus,0112_2,0112_2_raw_rirs.wav
Motus,0597_1,0597_1_raw_rirs.wav
Motus,0349_2,0349_2_raw_rirs.wav
Motus,0632_3,0632_3_raw_rirs.wav
Motus,0538_3,0538_3_raw_rirs.wav
Motus,0059_1,0059_1_raw_rirs.wav
Motus,0053_2,0053_2_raw_rirs.wav
Motus,0521_2,0521_2_raw_rirs.wav
Motus,0771_1,0771_1_raw_rirs.wav
Motus,0738_2,0738_2_raw_rirs.wav
Motus,0003_1,0003_1_raw_rirs.wav
Motus,0403_1,0403_1_raw_rirs.wav
Motus,0680_3,0680_3_raw_rirs.wav
Motus,0719_1,0719_1_raw_rirs.wav
Motus,0527_2,0527_2_raw_rirs.wav
Motus,0501_1,0501_1_raw_rirs.wav
Motus,0067_1,0067_1_raw_rirs.wav
Motus,0671_3,0671_3_raw_rirs.wav
Motus,0523_1,0523_1_raw_rirs.wav
Motus,0804_1,0804_1_raw_rirs.wav
Motus,0334_1,0334_1_raw_rirs.wav
Motus,0510_1,0510_1_raw_rirs.wav
Motus,0357_1,0357_1_raw_rirs.wav
Motus,0624_1,0624_1_raw_rirs.wav
Motus,0407_2,0407_2_raw_rirs.wav
Motus,0265_2,0265_2_raw_rirs.wav
Motus,0595_3,0595_3_raw_rirs.wav
Motus,0755_3,0755_3_raw_rirs.wav
Motus,0630_3,0630_3_raw_rirs.wav
Motus,0176_1,0176_1_raw_rirs.wav
Motus,0623_2,0623_2_raw_rirs.wav
Motus,0542_1,0542_1_raw_rirs.wav
Motus,0010_3,0010_3_raw_rirs.wav
Motus,0495_3,0495_3_raw_rirs.wav
Motus,0335_2,0335_2_raw_rirs.wav
Motus,0383_3,0383_3_raw_rirs.wav
Motus,0753_1,0753_1_raw_rirs.wav
Motus,0157_3,0157_3_raw_rirs.wav
Motus,0028_2,0028_2_raw_rirs.wav
Motus,0340_1,0340_1_raw_rirs.wav
Motus,0143_1,0143_1_raw_rirs.wav
Motus,0313_3,0313_3_raw_rirs.wav
Motus,0254_1,0254_1_raw_rirs.wav
Motus,0388_3,0388_3_raw_rirs.wav
Motus,0820_1,0820_1_raw_rirs.wav
Motus,0792_1,0792_1_raw_rirs.wav
Motus,0043_1,0043_1_raw_rirs.wav
Motus,0800_1,0800_1_raw_rirs.wav
Motus,0639_2,0639_2_raw_rirs.wav
Motus,0228_1,0228_1_raw_rirs.wav
Motus,0040_2,0040_2_raw_rirs.wav
Motus,0192_1,0192_1_raw_rirs.wav
Motus,0786_1,0786_1_raw_rirs.wav
Motus,0788_1,0788_1_raw_rirs.wav
Motus,0654_2,0654_2_raw_rirs.wav
Motus,0665_3,0665_3_raw_rirs.wav
Motus,0783_2,0783_2_raw_rirs.wav
Motus,0368_2,0368_2_raw_rirs.wav
Motus,0074_2,0074_2_raw_rirs.wav
Motus,0034_1,0034_1_raw_rirs.wav
Motus,0032_3,0032_3_raw_rirs.wav
Motus,0467_2,0467_2_raw_rirs.wav
Motus,0086_1,0086_1_raw_rirs.wav
Motus,0724_3,0724_3_raw_rirs.wav
Motus,0559_3,0559_3_raw_rirs.wav
Motus,0810_3,0810_3_raw_rirs.wav
Motus,0259_1,0259_1_raw_rirs.wav
Motus,0021_3,0021_3_raw_rirs.wav
Motus,0824_1,0824_1_raw_rirs.wav
Motus,0763_1,0763_1_raw_rirs.wav
Motus,0746_3,0746_3_raw_rirs.wav
Motus,0663_1,0663_1_raw_rirs.wav
Motus,0628_2,0628_2_raw_rirs.wav
Motus,0776_1,0776_1_raw_rirs.wav
Motus,0512_1,0512_1_raw_rirs.wav
Motus,0503_1,0503_1_raw_rirs.wav
Motus,0486_1,0486_1_raw_rirs.wav
Motus,0071_2,0071_2_raw_rirs.wav
Motus,0384_2,0384_2_raw_rirs.wav
Motus,0100_3,0100_3_raw_rirs.wav
Motus,0690_1,0690_1_raw_rirs.wav
Motus,0830_1,0830_1_raw_rirs.wav
Motus,0797_1,0797_1_raw_rirs.wav
Motus,0644_3,0644_3_raw_rirs.wav
Motus,0489_3,0489_3_raw_rirs.wav
Motus,0167_3,0167_3_raw_rirs.wav
Motus,0752_1,0752_1_raw_rirs.wav
Motus,0316_4,0316_4_raw_rirs.wav
Motus,0192_3,0192_3_raw_rirs.wav
Motus,0171_1,0171_1_raw_rirs.wav
Motus,0518_3,0518_3_raw_rirs.wav
Motus,0567_1,0567_1_raw_rirs.wav
Motus,0014_1,0014_1_raw_rirs.wav
Motus,0442_2,0442_2_raw_rirs.wav
Motus,0423_1,0423_1_raw_rirs.wav
Motus,0733_1,0733_1_raw_rirs.wav
Motus,0295_3,0295_3_raw_rirs.wav
Motus,0509_3,0509_3_raw_rirs.wav
Motus,0656_1,0656_1_raw_rirs.wav
Motus,0415_2,0415_2_raw_rirs.wav
Motus,0720_1,0720_1_raw_rirs.wav
Motus,0155_2,0155_2_raw_rirs.wav
Motus,0650_1,0650_1_raw_rirs.wav
Motus,0328_1,0328_1_raw_rirs.wav
Motus,0589_3,0589_3_raw_rirs.wav
Motus,0565_1,0565_1_raw_rirs.wav
Motus,0263_2,0263_2_raw_rirs.wav
Motus,0020_3,0020_3_raw_rirs.wav
Motus,0594_3,0594_3_raw_rirs.wav
Motus,0021_2,0021_2_raw_rirs.wav
Motus,0205_1,0205_1_raw_rirs.wav
Motus,0663_2,0663_2_raw_rirs.wav
Motus,0165_3,0165_3_raw_rirs.wav
Motus,0385_3,0385_3_raw_rirs.wav
Motus,0704_3,0704_3_raw_rirs.wav
